date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:12	90/90	---M-Z	200	added ('OK')	text/plain	etag:W/%2255-19136166503-gzip%22	https://www.triptotemples.com/robots.txt		(from )
14:05:12	178918/178918	---MCZ	200	added ('OK')	text/html	etag:%2236trie4cvm3tof%22	https://www.triptotemples.com/	C:/Users/shiva/Desktop/Vaanya/www.triptotemples.com/index.html	(from )
14:05:13	114124/114124	---M--	200	added ('OK')	image/png	etag:%22861a982800ee363c4b9fa21a614758be%22	https://cdn.triptotemples.com/assets/img/hp-banner-2024-new.png	C:/Users/shiva/Desktop/Vaanya/cdn.triptotemples.com/assets/img/hp-banner-2024-new.png	(from https://www.triptotemples.com/)
14:05:13	3261/3261	---M--	200	added ('OK')	image/png	etag:W/%22cbd-19136166507%22	https://www.triptotemples.com/images/favicon.png	C:/Users/shiva/Desktop/Vaanya/www.triptotemples.com/images/favicon.png	(from https://www.triptotemples.com/)
14:05:13	168450/168450	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c6b0ddc00481d2163e88a6d0f7d7586%22	https://checkout.razorpay.com/v1/checkout.js	C:/Users/shiva/Desktop/Vaanya/checkout.razorpay.com/v1/checkout.js	(from https://www.triptotemples.com/)
14:05:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2016%20Aug%202024%2008:35:15%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/shiva/Desktop/Vaanya/www.googletagmanager.com/gtm.35445.delayed	(from https://www.triptotemples.com/)
14:05:14	11540/11540	---MCZ	200	added ('OK')	text/css	etag:W/%222d14-19159cecb0f%22	https://www.triptotemples.com/_next/static/css/bc8831281eb208c3.css	C:/Users/shiva/Desktop/Vaanya/www.triptotemples.com/_next/static/css/bc8831281eb208c3.css	(from https://www.triptotemples.com/)
14:05:15	133/133	---M-Z	200	added ('OK')	text/css	etag:W/%2285-19159cecb13-gzip%22	https://www.triptotemples.com/_next/static/css/5f57dec10fa1d3b7.css	C:/Users/shiva/Desktop/Vaanya/www.triptotemples.com/_next/static/css/5f57dec10fa1d3b7.css	(from https://www.triptotemples.com/)
14:05:15	228467/228467	---MCZ	200	added ('OK')	text/css	etag:W/%2237c73-19159cecb0f%22	https://www.triptotemples.com/_next/static/css/c2eeff09a1cc6412.css	C:/Users/shiva/Desktop/Vaanya/www.triptotemples.com/_next/static/css/c2eeff09a1cc6412.css	(from https://www.triptotemples.com/)
14:05:15	4035/4035	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fc3-19159cecb13%22	https://www.triptotemples.com/_next/static/chunks/3927.b530001c72a5521c.js	C:/Users/shiva/Desktop/Vaanya/www.triptotemples.com/_next/static/chunks/3927.b530001c72a5521c.js	(from https://www.triptotemples.com/)
